Place Name,Address
Taj Mahal,"Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001"
India Gate,"Kartavya Path, India Gate, New Delhi, Delhi 110001"
Gateway Of India Mumbai,"Apollo Bandar, Colaba, Mumbai, Maharashtra 400001"
"Qutub Minar, New Delhi",Address not found
Red Fort,"Netaji Subhash Marg, Lal Qila, Chandni Chowk, New Delhi, Delhi, 110006"
Hawa Mahal,"Hawa Mahal Rd, Badi Choupad, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002"
Mysore Palace,"Agrahara, Chamrajpura, Mysuru, Karnataka 570004"
Charminar,"Charminar Rd, Char Kaman, Ghansi Bazaar, Hyderabad, Telangana 500002"
Victoria Memorial,"Victoria Memorial Hall, 1, Queens Way, Maidan, Kolkata, West Bengal 700071"
Lotus Temple,"Lotus Temple Rd Bahapur, Kalkaji, New Delhi, Delhi 110019"
Ajanta Caves,Maharashtra 431117
Ellora Caves,"Verul, Maharashtra 431102"
Amber Palace,"Devisinghpura, Amer, Jaipur, Rajasthan 302001"
City Palace,"Old City, Udaipur, Rajasthan 313001"
"Chhatrapati Shivaji Terminus, Mumbai",Address not found
"Fatehpur Sikri, Agra",Address not found
Meenakshi Amman Temple,"Madurai Main, Madurai, Tamil Nadu 625001"
Gateway Of India Mumbai,"Apollo Bandar, Colaba, Mumbai, Maharashtra 400001"
Ramoji Film City,"Abdullahpurmet, Vijayawada Highway, Hyderabad, Telangana 501512"
