Place Name,Address
Taj Mahal,"Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001"
"India Gate, New Delhi",Address not found
"Gateway of India, Mumbai",Address not found
"Qutub Minar, New Delhi",Address not found
"Red Fort, New Delhi",Address not found
Hawa Mahal,"Hawa Mahal Rd, Badi Choupad, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002, Индија"
"Mysore Palace, Mysuru",Address not found
"Charminar, Hyderabad",Address not found
"Victoria Memorial, Kolkata",Address not found
Lotus Temple,"Lotus Temple Rd Bahapur, Kalkaji, New Delhi, Delhi 110019, Индија"
"Ajanta Caves, Maharashtra",Address not found
"Ellora Caves, Maharashtra",Address not found
"Amber Fort, Jaipur",Address not found
"City Palace, Udaipur",Address not found
"Chhatrapati Shivaji Terminus, Mumbai",Address not found
"Fatehpur Sikri, Agra",Address not found
"Meenakshi Temple, Madurai",Address not found
"Gateway of India, Mumbai",Address not found
"Ramoji Film City, Hyderabad",Address not found
